epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,3074.17,1.6515,0.82729,1.05999,0.8843,0.89725,0.92456,0.49829,1.527,0.76424,0.98608,0.000505,0.000505,0.000505
152,3086.88,1.55724,0.80711,1.03972,0.8843,0.89725,0.92456,0.49829,1.527,0.76424,0.98608,0.0005017,0.0005017,0.0005017
153,3101.83,1.5567,0.78364,1.03445,0.87969,0.89885,0.9338,0.50695,1.50319,0.76257,0.98069,0.0004984,0.0004984,0.0004984
154,3114.11,1.53648,0.80581,1.0419,0.87969,0.89885,0.9338,0.50695,1.50319,0.76257,0.98069,0.0004951,0.0004951,0.0004951
155,3134.5,1.73727,0.84783,1.08061,0.87227,0.89908,0.93156,0.50748,1.50956,0.7654,0.981,0.0004918,0.0004918,0.0004918
156,3154.19,1.60734,0.8013,1.05004,0.87227,0.89908,0.93156,0.50748,1.50956,0.7654,0.981,0.0004885,0.0004885,0.0004885
157,3169.7,1.46991,0.81274,1.04767,0.87393,0.90459,0.93411,0.50987,1.52688,0.7612,0.98504,0.0004852,0.0004852,0.0004852
158,3188.54,1.6938,0.84679,1.08066,0.87393,0.90459,0.93411,0.50987,1.52688,0.7612,0.98504,0.0004819,0.0004819,0.0004819
159,3204.99,1.66036,0.83821,1.06722,0.89359,0.89725,0.94618,0.50976,1.54934,0.75525,0.99123,0.0004786,0.0004786,0.0004786
160,3214.38,1.50496,0.77301,1.05114,0.89359,0.89725,0.94618,0.50976,1.54934,0.75525,0.99123,0.0004753,0.0004753,0.0004753
161,3228.36,1.59967,0.79024,1.03759,0.89304,0.91376,0.94573,0.50297,1.5832,0.75078,1.00212,0.000472,0.000472,0.000472
162,3594.07,1.4801,0.77203,1.04317,0.89304,0.91376,0.94573,0.50297,1.5832,0.75078,1.00212,0.0004687,0.0004687,0.0004687
163,3624.58,1.59868,0.7751,1.03131,0.90974,0.90275,0.93793,0.49928,1.59871,0.74596,1.00658,0.0004654,0.0004654,0.0004654
164,3651.32,1.49611,0.77875,1.05466,0.90974,0.90275,0.93793,0.49928,1.59871,0.74596,1.00658,0.0004621,0.0004621,0.0004621
165,3671.56,1.58284,0.78015,1.04002,0.91202,0.88991,0.93761,0.49226,1.60932,0.74644,1.00822,0.0004588,0.0004588,0.0004588
166,3683.4,1.54079,0.801,1.02119,0.91202,0.88991,0.93761,0.49226,1.60932,0.74644,1.00822,0.0004555,0.0004555,0.0004555
167,3702.95,1.62607,0.79444,1.05797,0.91615,0.90221,0.94116,0.4934,1.63019,0.74622,1.00914,0.0004522,0.0004522,0.0004522
